# Mode: Color Science
# Date: 2026-03-13 13:32:24
# Measurement: ILLUMINATION
# Light: off
# Gain: 10.0
# Exposure: 10000
# XYZ: X=100.01 Y=100.39 Z=100.56
# LAB: L*=100.15 a*=-0.64 b*=-0.11
# xy: x=0.3323 y=0.3336
# Swatch_1: S1 I L*=100.9 a*=-0.8 b*=1.6
# Swatch_2: S2 I L*=118.0 a*=-17.3 b*=32.3
# Swatch_3: S3 I L*=103.0 a*=-1.9 b*=6.2
Pixel,Wavelength,Measured,S1,S2,S3
49,293.267313,0.0653480589389801,0.0641976147890091,0.06371316313743591,0.06353861093521118
50,293.763483,0.06918486207723618,0.06708761304616928,0.06842619925737381,0.06819741427898407
51,294.259644,0.06590811163187027,0.06790252774953842,0.06687846779823303,0.0657973438501358
52,294.755795,0.06451612710952759,0.06551560759544373,0.06666241586208344,0.06682159751653671
53,295.251936,0.06557684391736984,0.06764204055070877,0.0660942792892456,0.06613314151763916
54,295.748068,0.06754808872938156,0.06564697623252869,0.06307977437973022,0.0675131306052208
55,296.24419,0.06604695320129395,0.067448690533638,0.06351534277200699,0.06673050671815872
56,296.740302,0.06366893649101257,0.06457363814115524,0.06450434774160385,0.06587658822536469
57,297.236405,0.06309235841035843,0.06619623303413391,0.06407679617404938,0.06418170779943466
58,297.732498,0.06419844180345535,0.06656426936388016,0.06417738646268845,0.065493643283844
59,298.228582,0.06669248640537262,0.06644731760025024,0.0646757259964943,0.06784136593341827
60,298.724656,0.06620457023382187,0.06616568565368652,0.06748297810554504,0.06648124754428864
61,299.22072,0.06445356458425522,0.06565053761005402,0.06524138152599335,0.06408000737428665
62,299.716775,0.06514991074800491,0.0660712718963623,0.06352762132883072,0.06518816947937012
63,300.212821,0.06366556882858276,0.06501447409391403,0.06437648087739944,0.0653608962893486
64,300.708857,0.064020074903965,0.06445503234863281,0.06409112364053726,0.06547090411186218
65,301.204884,0.06697503477334976,0.06458815932273865,0.06475073099136353,0.0662267878651619
66,301.700902,0.06506597995758057,0.06442303210496902,0.06417904794216156,0.06556695699691772
67,302.19691,0.06438750773668289,0.06534090638160706,0.06864342093467712,0.06582966446876526
68,302.692909,0.06354868412017822,0.06705766171216965,0.06763312220573425,0.06454119831323624
69,303.188899,0.06410308182239532,0.06768019497394562,0.06604805588722229,0.06499530375003815
70,303.684879,0.06442726403474808,0.0680660605430603,0.06899822503328323,0.06477814167737961
71,304.18085,0.06403466314077377,0.06735092401504517,0.06566615402698517,0.0665031149983406
72,304.676813,0.06516166031360626,0.06726822257041931,0.06466886401176453,0.06723732501268387
73,305.172766,0.06544031947851181,0.06409373879432678,0.06349746137857437,0.06465251743793488
74,305.66871,0.0662207305431366,0.06303732842206955,0.06472290307283401,0.06480458378791809
75,306.164645,0.0648895651102066,0.06585897505283356,0.0655965507030487,0.06554420292377472
76,306.66057,0.06443037837743759,0.06728576123714447,0.06505918502807617,0.06416700780391693
77,307.156487,0.06399478763341904,0.06400611996650696,0.06488269567489624,0.06486113369464874
78,307.652395,0.06673534959554672,0.06589674204587936,0.06423056870698929,0.0657440796494484
79,308.148294,0.06495893001556396,0.06458129733800888,0.06730260699987411,0.06607244163751602
80,308.644184,0.0631956160068512,0.06256110221147537,0.06716256588697433,0.06645657867193222
81,309.140065,0.06434362381696701,0.06624116748571396,0.06598875671625137,0.06677869707345963
82,309.635937,0.06513210386037827,0.06289035826921463,0.0657334178686142,0.06573802977800369
83,310.131801,0.06600195169448853,0.06437162309885025,0.06449339538812637,0.06416066735982895
84,310.627656,0.06538504362106323,0.06451612710952759,0.06416422128677368,0.064141184091568
85,311.123502,0.06461726129055023,0.06514174491167068,0.06593421846628189,0.06359006464481354
86,311.619339,0.06403444707393646,0.06574147939682007,0.06507746875286102,0.06290866434574127
87,312.115167,0.0657380223274231,0.06612741947174072,0.06643857806921005,0.0629541203379631
88,312.610987,0.06565886735916138,0.06403262913227081,0.06724712997674942,0.06326368451118469
89,313.106798,0.06502173840999603,0.06630823761224747,0.06840623915195465,0.06326324492692947
90,313.602601,0.06358516216278076,0.06455743312835693,0.06603923439979553,0.06394713371992111
91,314.098395,0.06337103992700577,0.06384231150150299,0.06760507822036743,0.06609741598367691
92,314.59418,0.06286446005105972,0.06429785490036011,0.06679700314998627,0.06477679312229156
93,315.089957,0.06278382241725922,0.06599162518978119,0.06253275275230408,0.06567692756652832
94,315.585726,0.06524483114480972,0.06649500876665115,0.06322506815195084,0.06261149048805237
95,316.081485,0.065493643283844,0.06421065330505371,0.06672122329473495,0.06652004271745682
96,316.577237,0.06335759162902832,0.06269486993551254,0.06657228618860245,0.06554019451141357
97,317.07298,0.06295209378004074,0.06397306174039841,0.06578917801380157,0.06428878754377365
98,317.568715,0.06374342739582062,0.06498584151268005,0.06632077693939209,0.06458433717489243
99,318.064441,0.06489628553390503,0.065493643283844,0.06701704859733582,0.06342189013957977
100,318.560159,0.06331426650285721,0.06331690400838852,0.06507320702075958,0.06348112225532532
101,319.055869,0.06552240252494812,0.06515364348888397,0.06432570517063141,0.06427916139364243
102,319.551571,0.06482481211423874,0.06431388109922409,0.06502744555473328,0.06423232704401016
103,320.047264,0.06405064463615417,0.061415039002895355,0.06408698111772537,0.06411362439393997
104,320.54295,0.0650109201669693,0.06332138925790787,0.0635741576552391,0.06561213731765747
105,321.038627,0.06473745405673981,0.06488470733165741,0.0649385079741478,0.06721867620944977
106,321.534295,0.06345541775226593,0.06560581922531128,0.0635223239660263,0.06490714102983475
107,322.029956,0.06279484927654266,0.06510815024375916,0.06656631827354431,0.06396938115358353
108,322.525609,0.06402736157178879,0.06296733766794205,0.06526149064302444,0.06389278918504715
109,323.021254,0.06388159841299057,0.06450562924146652,0.06425605714321136,0.06560106575489044
110,323.516891,0.06438358873128891,0.06662154942750931,0.06359846144914627,0.06516128778457642
111,324.012519,0.06552794575691223,0.06572365760803223,0.06287588179111481,0.06553875654935837
112,324.50814,0.06456056237220764,0.06387138366699219,0.06312702596187592,0.06343835592269897
113,325.003753,0.06364721804857254,0.06485128402709961,0.06386444717645645,0.06358874589204788
114,325.499358,0.06322062015533447,0.06398827582597733,0.0657082200050354,0.06559338420629501
115,325.994955,0.06164705008268356,0.06535400450229645,0.06587615609169006,0.065493643283844
116,326.490544,0.06330861151218414,0.06594481319189072,0.06522276997566223,0.0644889771938324
117,326.986126,0.0681818276643753,0.06667481362819672,0.06665517389774323,0.06684193760156631
118,327.4817,0.06858329474925995,0.0653056725859642,0.06757968664169312,0.06721066683530807
119,327.977266,0.06626317650079727,0.0657087042927742,0.06693226099014282,0.06393758952617645
120,328.472824,0.06632710993289948,0.06620199233293533,0.06525667011737823,0.06379928439855576
121,328.968375,0.06341111660003662,0.0645369291305542,0.0646049901843071,0.06428339332342148
122,329.463918,0.06250125169754028,0.06326491385698318,0.06604845076799393,0.06468087434768677
123,329.959453,0.06415912508964539,0.06583034992218018,0.06636255979537964,0.06554696708917618
124,330.454981,0.06353861093521118,0.0638393983244896,0.06627990305423737,0.06488122791051865
125,330.950501,0.06380043923854828,0.06526697427034378,0.06532258540391922,0.06493507325649261
126,331.446014,0.06705372780561447,0.0671316459774971,0.06361276656389236,0.06475763767957687
127,331.941519,0.06739811599254608,0.06713201105594635,0.06470600515604019,0.06314919143915176
128,332.437017,0.06577030569314957,0.0652061477303505,0.06482481956481934,0.06875970214605331
129,332.932508,0.06412096321582794,0.0643087774515152,0.0634264349937439,0.06525959074497223
130,333.427991,0.0635840892791748,0.0646500363945961,0.06411868333816528,0.06565477699041367
131,333.923466,0.06705475598573685,0.06565464287996292,0.06537145376205444,0.06502815335988998
132,334.418935,0.06524137407541275,0.06620150804519653,0.06576453149318695,0.0650048777461052
133,334.914396,0.0637558326125145,0.06447853893041611,0.0658332109451294,0.06523584574460983
134,335.409849,0.06447622925043106,0.06435760855674744,0.06387569010257721,0.06425737589597702
135,335.905296,0.06427175551652908,0.06563330441713333,0.06345715373754501,0.06406699866056442
136,336.400735,0.06347502768039703,0.06634502857923508,0.06514008343219757,0.0644221380352974
137,336.896167,0.06509961932897568,0.06618465483188629,0.06517466902732849,0.0654563307762146
138,337.391592,0.06404133141040802,0.06629624217748642,0.06428734213113785,0.06605222821235657
139,337.88701,0.0644850954413414,0.06435109674930573,0.06435760855674744,0.06575839221477509
140,338.38242,0.06443234533071518,0.0634775161743164,0.0639808177947998,0.06394781917333603
141,338.877824,0.06524359434843063,0.06519541144371033,0.06372986733913422,0.06305468827486038
142,339.373221,0.064112089574337,0.06480222940444946,0.06388654559850693,0.06313009560108185
143,339.86861,0.0664917379617691,0.06435321271419525,0.06411624699831009,0.06415487825870514
144,340.363993,0.06469715386629105,0.0632292777299881,0.06390517950057983,0.06449533253908157
145,340.859368,0.0649096742272377,0.0629066750407219,0.06516781449317932,0.06329710781574249
146,341.354737,0.06332234293222427,0.0633431151509285,0.06427174806594849,0.06460601836442947
147,341.850099,0.06322264671325684,0.06518697738647461,0.0640101209282875,0.06384481489658356
148,342.345454,0.06314417719841003,0.0656513050198555,0.06492771953344345,0.06331303715705872
149,342.840802,0.06311094760894775,0.06455408781766891,0.06497230380773544,0.06522704660892487
150,343.336144,0.06284177303314209,0.06590999662876129,0.06409949064254761,0.06588931381702423
151,343.831478,0.0630427673459053,0.0632430836558342,0.06486368924379349,0.06669145077466965
152,344.326806,0.06278453022241592,0.06342688947916031,0.06289947032928467,0.06444793194532394
153,344.822127,0.06373946368694305,0.06429687887430191,0.06250963360071182,0.06324402242898941
154,345.317442,0.06435110419988632,0.0644572377204895,0.06362196803092957,0.06328855454921722
155,345.81275,0.06710026413202286,0.0651598647236824,0.06373912841081619,0.0650152862071991
156,346.308051,0.06661372631788254,0.06380931288003922,0.06350149214267731,0.0639667809009552
157,346.803346,0.06408931314945221,0.06355706602334976,0.06312983483076096,0.06332974135875702
158,347.298634,0.0635741576552391,0.06345236301422119,0.06340532004833221,0.06435045599937439
159,347.793915,0.06444870680570602,0.06384272873401642,0.06451612710952759,0.06548062711954117
160,348.289191,0.06309803575277328,0.06396733969449997,0.06431154161691666,0.06464646011590958
161,348.784459,0.06387301534414291,0.06400970369577408,0.0640125572681427,0.06342361122369766
162,349.279721,0.0646049976348877,0.06405221670866013,0.06386445462703705,0.06514032185077667
163,349.774977,0.06549365073442459,0.0641726702451706,0.06439582258462906,0.06881874054670334
164,350.270227,0.06296685338020325,0.06332839280366898,0.06485956907272339,0.06542211771011353
165,350.76547,0.06418171525001526,0.06317554414272308,0.06446725875139236,0.0648360401391983
166,351.260707,0.06568112224340439,0.06665505468845367,0.06398569047451019,0.06394854187965393
167,351.755937,0.06540314108133316,0.06536714732646942,0.06292642652988434,0.06369195133447647
168,352.251162,0.06439393758773804,0.06426448374986649,0.06234081834554672,0.06609519571065903
169,352.74638,0.06380931288003922,0.06386998295783997,0.0661996379494667,0.06653323769569397
170,353.241592,0.0643206387758255,0.06364969909191132,0.06623274087905884,0.06573802977800369
171,353.736797,0.0661749467253685,0.06439561396837234,0.06285590678453445,0.06505788117647171
172,354.231997,0.06583709269762039,0.06312264502048492,0.06455420702695847,0.06602683663368225
173,354.72719,0.06475696712732315,0.06505447626113892,0.062260329723358154,0.06628318130970001
174,355.222378,0.06440476328134537,0.0637391209602356,0.06427175551652908,0.06616779416799545
175,355.717559,0.06289761513471603,0.06246649846434593,0.06654161959886551,0.06522611528635025
176,356.212735,0.064182348549366,0.06471633166074753,0.06472411751747131,0.0643552765250206
177,356.707904,0.06442076712846756,0.06533634662628174,0.06577293574810028,0.0654301643371582
178,357.203068,0.065493643283844,0.06315190345048904,0.06629109382629395,0.06638969480991364
179,357.698225,0.06534773856401443,0.06485568732023239,0.06413884460926056,0.06683772802352905
180,358.193377,0.06554555147886276,0.06476791203022003,0.06492970138788223,0.06511351466178894
181,358.688523,0.06527642160654068,0.06365592032670975,0.0655289813876152,0.0632176324725151
182,359.183663,0.06395457684993744,0.06427913904190063,0.06654635816812515,0.0630091205239296
183,359.678797,0.06404133886098862,0.06429728120565414,0.06501810252666473,0.06495602428913116
184,360.173925,0.06417477130889893,0.0652061477303505,0.06386984139680862,0.06505022943019867
185,360.669048,0.06470232456922531,0.0636647418141365,0.06380743533372879,0.06827648729085922
186,361.164165,0.06600050628185272,0.0645778551697731,0.06480363756418228,0.06475675851106644
187,361.659276,0.06497231125831604,0.06559838354587555,0.06533929705619812,0.06446468085050583
188,362.154382,0.06379736214876175,0.06370152533054352,0.06410454213619232,0.06458130478858948
189,362.649482,0.06353861093521118,0.0642961859703064,0.06357352435588837,0.061850182712078094
190,363.144577,0.06353861093521118,0.06462040543556213,0.06384076178073883,0.0634082779288292
191,363.639666,0.06623175740242004,0.0648093894124031,0.0630350410938263,0.0637899786233902
192,364.134749,0.06536184251308441,0.06626169383525848,0.06314149498939514,0.0640016496181488
193,364.629827,0.06486405432224274,0.06556347757577896,0.06403466314077377,0.06373411417007446
194,365.1249,0.06577031314373016,0.0643630102276802,0.06522583961486816,0.06537548452615738
195,365.619967,0.06315580755472183,0.06668838113546371,0.06454208493232727,0.06419813632965088
196,366.115028,0.0614498071372509,0.06493762880563736,0.06342615187168121,0.06593797355890274
197,366.610085,0.0632331371307373,0.06577294319868088,0.06318315863609314,0.06640451401472092
198,367.105136,0.06462474167346954,0.06324948370456696,0.06454984098672867,0.067766934633255
