# Mode: Calibration
# Date: 2026-03-11 21:43:45
# Reference source: FL12
# Sensitivity correction: off
# Gain: 10.0
# Exposure: 10000
pixel,intensity,reference_wavelength,reference_intensity,calibrated_wavelength,calibrated_intensity
513,0.0654936358332634,529.820745,0.005423241053381061,529.820745,0.0654936358332634
514,0.06489863991737366,530.142631,0.0056851591217103445,530.142631,0.06489863991737366
515,0.0654284879565239,530.464697,0.0059921524541041655,530.464697,0.0654284879565239
516,0.065493643283844,530.786942,0.006299316409309769,530.786942,0.065493643283844
517,0.0656440332531929,531.109367,0.006623242932796292,531.109367,0.0656440332531929
518,0.06655262410640717,531.431971,0.006979688167809144,531.431971,0.06655262410640717
519,0.06657977402210236,531.754754,0.007336331179963968,531.754754,0.06657977402210236
520,0.06720806658267975,532.077714,0.007712312652762198,532.077714,0.06720806658267975
521,0.06642308086156845,532.400852,0.008148944840133983,532.400852,0.06642308086156845
522,0.06708663702011108,532.724166,0.008585814843129376,532.724166,0.06708663702011108
523,0.0672089084982872,533.047658,0.009050363498804812,533.047658,0.0672089084982872
524,0.06765665858983994,533.371325,0.009674055247241709,533.371325,0.06765665858983994
525,0.06757616996765137,533.695168,0.010298086139761048,533.695168,0.06757616996765137
526,0.07040630280971527,534.019187,0.010950535304248422,534.019187,0.07040630280971527
527,0.07201043516397476,534.34338,0.01204967940241065,534.34338,0.07201043516397476
528,0.0753910094499588,534.667747,0.013149413430253566,534.667747,0.0753910094499588
529,0.07761486619710922,534.992288,0.014249737387777947,534.992288,0.07761486619710922
530,0.07868154346942902,535.317002,0.016446972793461613,535.317002,0.07868154346942902
531,0.08184485137462616,535.641889,0.018672064351571864,535.641889,0.08184485137462616
532,0.0820256844162941,535.966949,0.02089834075499631,535.966949,0.0820256844162941
533,0.08443156629800797,536.29218,0.025151662861189753,536.29218,0.08443156629800797
534,0.0848553404211998,536.617582,0.02963650591473768,536.617582,0.0848553404211998
535,0.09002380073070526,536.943155,0.03412370577052643,536.943155,0.09002380073070526
536,0.09621776640415192,537.268899,0.04179385118721607,537.268899,0.09621776640415192
537,0.10704966634511948,537.594812,0.05014069832859529,537.594812,0.10704966634511948
538,0.116642527282238,537.920894,0.05849187367156874,537.920894,0.116642527282238
539,0.13152843713760376,538.247145,0.07090265974205183,538.247145,0.13152843713760376
540,0.14752550423145294,538.573565,0.08461855906841378,538.573565,0.14752550423145294
541,0.17452847957611084,538.900152,0.09834147559711615,538.900152,0.17452847957611084
542,0.21150605380535126,539.226906,0.11597705447255742,539.226906,0.21150605380535126
543,0.2648000419139862,539.553827,0.13534117003028878,539.553827,0.2648000419139862
544,0.3336440920829773,539.880914,0.15471511806492824,539.880914,0.3336440920829773
545,0.3988186717033386,540.208166,0.17626997943170067,540.208166,0.3988186717033386
546,0.45842212438583374,540.535584,0.19907845370856925,540.535584,0.45842212438583374
547,0.4988976716995239,540.863165,0.2218982828324777,540.863165,0.4988976716995239
548,0.5258775353431702,541.190911,0.24387766943854047,541.190911,0.5258775353431702
549,0.5296152830123901,541.51882,0.2652570599354057,541.51882,0.5296152830123901
550,0.518849790096283,541.846893,0.28664714309408373,541.846893,0.518849790096283
551,0.5237024426460266,542.175127,0.30401183093114026,542.175127,0.5237024426460266
552,0.5647701621055603,542.503523,0.31785491757258744,542.503523,0.5647701621055603
553,0.6268159747123718,542.83208,0.33170479095001787,542.83208,0.6268159747123718
554,0.6652893424034119,543.160798,0.3397447162298829,543.160798,0.6652893424034119
555,0.6861716508865356,543.489675,0.3417112249438912,543.489675,0.6861716508865356
556,0.6835142970085144,543.818712,0.343678690372398,543.818712,0.6835142970085144
557,0.6576977372169495,544.147908,0.3403520325370133,544.147908,0.6576977372169495
558,0.5846490263938904,544.477262,0.3305305924051875,544.477262,0.5846490263938904
559,0.48625168204307556,544.806774,0.32070444066353954,544.806774,0.48625168204307556
560,0.4157487750053406,545.136443,0.3477015185512843,545.136443,0.4157487750053406
561,0.36054879426956177,545.466269,0.42689074405024346,545.466269,0.36054879426956177
562,0.3058764934539795,545.79625,0.5061171841106635,545.79625,0.3058764934539795
563,0.2717980742454529,546.126386,0.5148570626814275,546.126386,0.2717980742454529
