# Mode: Color Science
# Date: 2026-03-13 13:07:15
# Measurement type: ILLUMINATION
# Light source: off
# Gain: 10.0
# Exposure: 10000
# XYZ: X=145.65 Y=245.84 Z=52.00
# LAB: L*=140.56 a*=-108.05 b*=109.10
# xy: x=0.3284 y=0.5543
Pixel,Wavelength,Measured,Dark
258,396.799568,0.004620611667633057,0.06702448427677155
259,397.29435,0.0059320032596588135,0.0679403692483902
260,397.789129,0.0052449703216552734,0.06922299414873123
261,398.283905,0.008763827383518219,0.06727489829063416
262,398.778677,0.009319625794887543,0.06723731756210327
263,399.273446,0.007021576166152954,0.06759058684110641
264,399.768212,0.011954173445701599,0.06418170779943466
265,400.262974,0.012104324996471405,0.0642588883638382
266,400.757733,0.009421885013580322,0.06720148772001266
267,401.252489,0.01284056156873703,0.06545455008745193
268,401.747241,0.014812931418418884,0.0663861483335495
269,402.24199,0.015937194228172302,0.0667271837592125
270,402.736736,0.011998042464256287,0.06659086048603058
271,403.231479,0.012698523700237274,0.06642957776784897
272,403.726219,0.014773771166801453,0.0644913762807846
273,404.220956,0.015847429633140564,0.06358515471220016
274,404.71569,0.016807466745376587,0.0638139620423317
275,405.210421,0.012549713253974915,0.06506515294313431
276,405.704798,0.010968394577503204,0.06951819360256195
277,406.1987,0.013791680335998535,0.0677223801612854
278,406.692465,0.014331229031085968,0.06576262414455414
279,407.186436,0.01598888635635376,0.06542212516069412
280,407.680951,0.01782383769750595,0.06704764813184738
281,408.176353,0.017885997891426086,0.06692296266555786
282,408.672431,0.01835852861404419,0.06665340811014175
283,409.168744,0.022552192211151123,0.06719641387462616
284,409.665286,0.0175916850566864,0.06693587452173233
285,410.162048,0.01483936607837677,0.06863417476415634
286,410.659022,0.015323489904403687,0.06769305467605591
287,411.156202,0.020526818931102753,0.06641760468482971
288,411.653579,0.017397582530975342,0.06711669266223907
289,412.151147,0.01859305053949356,0.06785719096660614
290,412.648896,0.017480604350566864,0.06860247254371643
291,413.146821,0.017750732600688934,0.06818724423646927
292,413.644912,0.016033366322517395,0.06815961003303528
293,414.143164,0.021441586315631866,0.06786546111106873
294,414.641567,0.017613857984542847,0.06756716966629028
295,415.140114,0.02063741534948349,0.06904634088277817
296,415.638799,0.02158491313457489,0.069125697016716
297,416.137612,0.018207378685474396,0.0684017613530159
298,416.636548,0.01527368277311325,0.07090016454458237
299,417.135597,0.020897112786769867,0.06639964133501053
300,417.634753,0.02228851616382599,0.06773441284894943
301,418.134007,0.019295208156108856,0.06679699569940567
302,418.633353,0.01313798874616623,0.07265046238899231
303,419.132783,0.014927297830581665,0.07006842643022537
304,419.632289,0.01838546246290207,0.06729016453027725
305,420.131863,0.023456916213035583,0.0676809623837471
306,420.631498,0.015921518206596375,0.06682027131319046
307,421.131186,0.01577869802713394,0.07112996280193329
308,421.630921,0.017996646463871002,0.07027015835046768
309,422.130693,0.019222542643547058,0.06765348464250565
310,422.630496,0.020864486694335938,0.06981530785560608
311,423.130322,0.017179474234580994,0.0702291801571846
312,423.630163,0.019722141325473785,0.06873393058776855
313,424.130012,0.02214234322309494,0.06779488176107407
314,424.629861,0.021402403712272644,0.06878882646560669
315,425.129702,0.01912747323513031,0.07040160149335861
316,425.629529,0.021202854812145233,0.06724289059638977
317,426.129333,0.023719243705272675,0.06764418631792068
318,426.629107,0.024060875177383423,0.06686217337846756
319,427.128843,0.022405728697776794,0.06791417300701141
320,427.628534,0.015102267265319824,0.07061497867107391
321,428.128172,0.019643329083919525,0.069135382771492
322,428.627749,0.017711855471134186,0.06910157203674316
323,429.127258,0.021775677800178528,0.06719524413347244
324,429.626692,0.025265619158744812,0.06844481080770493
325,430.126042,0.018143735826015472,0.06986036896705627
326,430.625301,0.019337914884090424,0.06866781413555145
327,431.124462,0.02241307497024536,0.06898478418588638
328,431.623516,0.01785963773727417,0.07245444506406784
329,432.122457,0.019876956939697266,0.07229866087436676
330,432.621277,0.02531938999891281,0.06774945557117462
331,433.119968,0.023531422019004822,0.06976134330034256
332,433.618522,0.023953720927238464,0.06994354724884033
333,434.116932,0.022746004164218903,0.06764666736125946
334,434.615191,0.022702068090438843,0.06775861978530884
335,435.11329,0.021170228719711304,0.07052087038755417
336,435.611222,0.02237612009048462,0.07147374004125595
337,436.109058,0.021336771547794342,0.0703592523932457
338,436.606873,0.024663791060447693,0.07042196393013
339,437.104666,0.024920649826526642,0.07087603211402893
340,437.602437,0.024761110544204712,0.07309034466743469
341,438.100187,0.023580484092235565,0.0724177360534668
342,438.597915,0.02231638878583908,0.07029547542333603
343,439.095622,0.026714079082012177,0.068773053586483
344,439.593307,0.030414991080760956,0.06948945671319962
345,440.090971,0.025379300117492676,0.07150990515947342
346,440.588612,0.02441030740737915,0.07518381625413895
347,441.086232,0.025103621184825897,0.07248076796531677
348,441.583831,0.02774515002965927,0.07155770808458328
349,442.081407,0.024442344903945923,0.07206219434738159
350,442.578962,0.023250021040439606,0.07444245368242264
351,443.076494,0.02511945366859436,0.07295364141464233
352,443.574005,0.030074656009674072,0.07366710901260376
353,444.071494,0.026496611535549164,0.0734223946928978
354,444.568961,0.02941782772541046,0.07381529361009598
355,445.066407,0.02500464767217636,0.0724644586443901
356,445.56383,0.03738474100828171,0.07105448096990585
357,446.061231,0.0321812629699707,0.07373271137475967
358,446.55861,0.035412922501564026,0.07397210597991943
359,447.055967,0.03520534187555313,0.07258322834968567
360,447.553301,0.036931902170181274,0.07287585735321045
361,448.050614,0.03245855122804642,0.07355643063783646
362,448.547904,0.03636440634727478,0.07373487949371338
363,449.045173,0.033101946115493774,0.07452131062746048
364,449.542419,0.033177509903907776,0.07713855057954788
365,450.039642,0.03836357593536377,0.07457058876752853
366,450.536844,0.03471092879772186,0.07858151197433472
367,451.034023,0.0367836132645607,0.07944130897521973
368,451.531179,0.03719343990087509,0.07641201466321945
369,452.028314,0.041012756526470184,0.07651671022176743
370,452.525425,0.04690580070018768,0.07549519091844559
371,453.022515,0.04033415764570236,0.07491336017847061
372,453.519582,0.03976950794458389,0.07760816812515259
373,454.016626,0.04447558522224426,0.07443837076425552
374,454.513648,0.04571555554866791,0.07497669011354446
375,455.010647,0.04814891517162323,0.07513070106506348
