pixel,intensity,reference_wavelength,reference_intensity,calibrated_wavelength,calibrated_intensity
143,0.06256109476089478,422.752143,0.005771821801729936,422.752143,0.06256109476089478
144,0.06256109476089478,423.051073,0.0058552245944959915,423.051073,0.06256109476089478
145,0.06253316253423691,423.350004,0.0059448014426802245,423.350004,0.06253316253423691
146,0.062180016189813614,423.648934,0.006034377991207168,423.648934,0.062180016189813614
147,0.06222730502486229,423.947864,0.006123954539734112,423.947864,0.06222730502486229
148,0.06172662600874901,424.246795,0.006219399267952025,424.246795,0.06172662600874901
149,0.062410708516836166,424.545725,0.0063160832756190164,424.545725,0.062410708516836166
150,0.06207234784960747,424.844655,0.006412767283286008,424.844655,0.06207234784960747
151,0.06086329370737076,425.143586,0.00651619254034907,425.143586,0.06086329370737076
152,0.061785824596881866,425.442516,0.006626910402277301,425.442516,0.061785824596881866
153,0.06259262561798096,425.741447,0.006737628634586093,425.741447,0.06259262561798096
154,0.06317847222089767,426.040377,0.006848969764449935,426.040377,0.06317847222089767
155,0.06137777864933014,426.339307,0.006964301973258656,426.339307,0.06137777864933014
156,0.06187683716416359,426.638238,0.00707963456788413,426.638238,0.06187683716416359
157,0.06153470277786255,426.937168,0.007194966776692829,426.937168,0.06153470277786255
158,0.061723221093416214,427.236099,0.0073122420641964486,427.236099,0.061723221093416214
159,0.062072332948446274,427.535029,0.007430033958061237,427.535029,0.062072332948446274
160,0.06231256201863289,427.833959,0.007547825851926025,427.833959,0.06231256201863289
161,0.06240469217300415,428.13289,0.0076657537385956985,428.13289,0.06240469217300415
162,0.06256109476089478,428.43182,0.007783850655692288,428.43182,0.06256109476089478
163,0.062191810458898544,428.730751,0.007901947967854312,428.730751,0.062191810458898544
164,0.06212432309985161,429.029681,0.008019861232848155,429.029681,0.06212432309985161
165,0.062438905239105225,429.328612,0.008136108900230069,429.328612,0.062438905239105225
166,0.062010131776332855,429.627542,0.008252356178734035,429.627542,0.062010131776332855
167,0.06191634386777878,429.926472,0.008368603457238001,429.926472,0.06191634386777878
168,0.06215231865644455,430.225403,0.008474139962689777,430.225403,0.06215231865644455
169,0.06356654316186905,430.524333,0.008576182072514687,430.524333,0.06356654316186905
170,0.06375805288553238,430.823264,0.008678224523697453,430.823264,0.06375805288553238
171,0.06238007918000221,431.122194,0.008778791482122331,431.122194,0.06238007918000221
172,0.06266970187425613,431.421124,0.008877224846771488,431.421124,0.06266970187425613
